sentence,label
오늘 반장 선거에서 내가 반장이 됐어! 친구들이 날 믿어줘서 너무 고맙다.,0
오늘 시험에 친구가 알려준 문제가 나왔어. 결과가 좋아서 기쁘다.,0
오늘 대학 합격 통지를 받았어. 엄마가 너무 기뻐하는데 나는 눈물이 났어.,0
오늘 졸업식인데 선생님께서 아프셔서 오지 못하셨어. 그동안 감사하다는 말도 못했는데.,0
나 올림피아드에서 금상 받았어! 그동안 고생이 헛되지 않아서 너무 기뻐.,0
요즘 부모님 부부싸움 때문에 많이 힘들었는데 내 친구 미영이 덕분에 기분이 한결 나아졌어.,0
오늘 학교에서 친구랑 다퉜는데 선생님은 나만 뭐라고 하셔.,0
오늘 준비물을 깜빡 했는데 민우가 쉬는 시간에 뛰어가서 사다 준 거 있지. 감동이야.,0
오늘 발표시간에 내 차례가 되니 눈앞이 캄캄해지는 거 있지.,0
태희는 천재인 거 같아. 매번 막히는 문제를 물어보면 모르는 게 없어!,0
담임선생님에게 고민을 이야기하면 마음이 편해져.,0
대학에서 뭘 공부하고 커서 뭘 해야 할지 모르겠어.,0
선생님께서 빨리 달려와 주셔서 그 애들이 날 못 때렸어.,0
학교 폭력을 당하고 있었는데 선생님께서 그걸 먼저 알아채고 도와주셨어.,0
선생님이 나를 괴롭힌 가해자들 뿐만 아니라 방관자들도 혼을 내셔서 속이 시원해,0
이번 학교 폭력 위원회에서 가해자들이 징계를 크게 받게 됐어.,0
아까 내가 혼자 울고 있을 때 담임 선생님께서 손수건을 건네 주셔서 감동했어.,0
학교 폭력 상담 센터 분들이 모두 나를 다정하고 조심스럽게 대해 주셨어.,0
보건 선생님이 내가 양호실에 자주 찾아오는 걸 보고 학교 폭력 신고를 해 주셨어.,0
선생님 덕분에 날 괴롭히던 애들과 오해를 풀고 잘 지낼 수 있게 됐어. 정말 감사드려.,0
내가 따돌림 당하고 있다는 걸 선생님께 말씀드리고 났더니 훨씬 편해졌어.,0
친구들이 나를 더 이상 왕따 안 시키고 놀아주기 시작했어.,0
나도 드디어 친구가 생겼어.,0
그 아이를 다시 안 본다고 생각하니 기분이 너무 좋아.,0
나를 따돌렸던 애들이 선생님께 혼났어.,0
학교에 나를 괴롭히는 애들이 없으니 이상해.,0
친구가 더 이상 나를 미워하지 않는 것 같아 좋아.,0
나를 괴롭히던 애가 드디어 징계를 받게 되었어.,0
친구들이 더 이상 나를 안 괴롭히겠다고 약속했어.,0
싸웠던 친구와 다시 친하게 지내기로 했어. 너무 좋아.,0
나를 괴롭히던 친구들이 나에게 사과를 했어.,0
이제 학교 가는 게 더 이상 무섭지 않게 되었어.,0
날 괴롭히던 친구가 선생님한테 혼났어. 너무 좋아.,0
지금 기분이 날아갈 거 같아.,0
이번 시험은 진짜 잘 본거 같아.,0
나는 지금이 내 인생에서 제일 행복한 거 같아.,0
진짜 복잡하고 어려운 문제를 몇 시간에 걸쳐서 풀었어.,0
아주 좋은 일이 있어서 기분이 좋아.,0
나 선생님한테 칭찬받았어.,0
내가 갖고 싶은 핸드폰을 아빠가 선물로 사준신대.,0
이번에 구월 모의고사를 보았어.,0
내가 전교에서 십 등 안에 들었어.,0
이번 여름 방학 한 달을 할머니와 함께 시골에서 보낼 수 있어서 기뻤어.,0
겨울에 아빠랑 시골에 갔을 때 기쁘고 행복했어.,0
여름 휴가 때 가족과 함께 여행을 다녀올 수 있어서 기뻤어.,0
겨울에 할머니 댁에 갔을 때 아빠가 군고구마를 만들어주셔서 좋았어.,0
친구들이 성적이 나보다 더 좋아서 조급했는데 엄마가 조언해주셔서 기뻤어.,0
휴일은 가족과 함께할 수 있어 참 좋아.,0
주말에 집에서 가족들과 함께 영화를 봐서 재밌는 시간이었어.,0
오늘 할머니 댁에서 집에 오는 차 안에서 잠이 들었는데 아빠가 나를 방으로 옮겨주셨어.,0
할머니 집 마당에서 다 같이 고기를 구워먹었는데 참 행복했어.,0
어린 사촌동생이 자는 모습을 지켜보았는데 너무 예쁘더라.,0
가족과 함께 찜질방에 다녀왔어. 계란도 같이 먹고 좋은 시간이었어.,0
시골에서 동생과 함께 밤하늘을 바라보며 별을 셌는데 좋은 시간이었어.,0
나는 친구들 사귀는 게 너무 쉽고 편해.,0
우리 학교에서만큼은 학생들 사이에 폭력이 없을 것이라고 자신 있게 장담할 수 있어.,0
우리 반에는 왕따 주동자가 한 명도 없어서 되게 좋아.,0
일 년 내내 나를 왕따 시켰던 무리가 드디어 징계를 받았어.,0
학교에 불편한 사람이 없어서 너무 마음이 편하고 여유로워.,0
친구들이랑 다퉜는데 화해했어. 이제 더 이상 안 싸워도 돼서 기뻐.,0
나를 집요하게 괴롭히던 애가 드디어 전학 갔어. 더 이상 피해 다니지 않아도 되어서 너무 기뻐.,0
선생님께서 주시하시는 한 우리 반에서 폭력은 더 이상 일어나지 않을 것이라서 마음이 너무 편해.,0
친구들과의 화해로 이제 더 이상 마음 졸이며 학교를 다니지 않아도 돼서 기뻐.,0
이번 시험 점수가 잘 나와서 만족해.,0
친구한테 필기 노트를 빌려줬는데 도움이 되었다고 해서 너무 기뻐.,0
이번 시험에서 일 등급을 받아서 너무 기뻐.,0
수학 대회를 열심히 준비했더니 만족스러운 결과가 나왔어.,0
수학 만점을 받았다는 게 믿기지 않아.,0
내가 꿈꾸던 학교에 입학하게 되어서 너무 행복해.,0
지난 학기에 비해 성적이 올라서 너무 뿌듯해.,0
노력한 만큼 성과를 얻을 수 있어서 만족스러워.,0
오늘 열 시간 넘게 공부한 내 자신이 너무 대견스러워.,0
나의 특기와 장점에 대해 많이 고민한 결과 진로에 대해 확신이 생겼어.,0
내가 우리 반에서 가장 높은 점수를 받았다니 너무 감격스러워.,0
정말 집중해서 할 수 있는 공부 법을 발견해서 만족스러워.,0
나 진짜 괴로웠는데 이제 따돌림으로 고통 받지 않아도 돼서 진짜 지금 죽어도 여한이 없어.,0
나 진짜 심하게 괴롭히던 애가 드디어 이번에 퇴학당했어.,0
나를 계속 때려왔던 그 친구가 전학을 가서 다시 볼 일 없을 거야.,0
나랑 싸웠던 친구와 서로 화해하고 걔랑 가장 친한 친구 되었어.,0
선생님께서 우리를 계속 지켜보시기로 하셨기 때문에 다시는 싸울 일이 없을 거야.,0
나의 다름을 인정해주는 소중한 친구를 만나서 더 이상 외로울 일이 없어.,0
이제까지 진짜 힘들었는데 우리 선생님께 이번에 말씀 드리니까 언제든지 고민 들어주시겠대.,0
나 전에 친구들이랑 싸웠는데 선생님께서 해결해주셨어.,0
나 만날 때리던 친구가 이번에 전학 가서 이제 나랑 마주칠 일이 없어.,0
이번 주에 내 친한 친구의 생일이 있어서 서프라이즈 파티를 열어주고 싶어.,0
선생님께 편지를 썼는데 아직 드리진 못했어.,0
다음 주에 친구들이랑 놀러 가기로 해서 기대돼.,0
어렸을 때 날 괴롭혔었던 친구랑 같은 반이 되어서 얘기를 나눴어.,0
지난주에 우리 학교에서 폭행 사건이 있었어.,0
며칠 전에 내가 다른 반 애한테 맞고 있었는데 우리 반 반장이 나타나서 말려줬어.,0
우리 부모님께서 오늘 우리 반에 햄버거를 돌리셔서 어깨가 으쓱했어.,0
오늘 친구들이랑 모처럼 진솔하게 얘기하고 화해를 통해 관계를 회복할 수 있어서 좋았어.,0
오늘 내 친구와 속 깊은 얘기를 나눴어.,0
오늘 선생님께서 내가 친구들에게 괴롭힘 당하던 걸 몰랐던 사실에 대해 사과하셨어.,0
선생님께서 오늘 내게 반장선거에 나가보는 게 어떠냐고 따로 불러 말씀하셨어.,0
내가 요즘 관심이 생긴 애가 있는데 생각만 해도 좋아.,0
나는 영어실력이 좋아서 친구들이 나에게 영어와 관련된 질문을 할 정도야.,0
나한테는 비밀을 털어놓을 수 있는 친구가 있어서 기뻐.,0
국어는 항상 일 등급이 나올 꺼라 굳게 믿어.,0
공부를 열심히 하면 나도 훌륭한 사람이 될 수 있을 거 같아.,0
문제를 다 풀면 개념은 확실해질 거라 믿어.,0
지금 하기 싫은 공부도 언젠가는 도움이 된다고 생각해.,0
난 절대 음감이 있어서 피아니스트가 되고 싶어.,0
난 꼭 훌륭한 의사가 될 거라 확신해.,0
공부는 내가 하고 싶은 일의 밑거름이라고 생각해.,0
아빠가 한 달 만에 출장에서 돌아오셔서 기뻐.,0
아빠가 퇴근하시면서 선물을 사오셨어. 너무 신이 나.,0
나 방금 엄마한테 이번 달 용돈을 받았다. 신난다!,0
오늘 누나가 나한테 청소 내기를 하자고 했는데 내가 이겼어.,0
우리 형이 태권도 선수인데 이번 경기에서 압도적으로 잘해서 승리했어. 너무 기뻐.,0
오늘 너무 신나는 일이 있어. 드디어 내 방이 생겼어!,0
엄마가 오늘 내가 갖고 싶었던 신발을 사주셨어. 날아갈 것 같은 기분이야.,0
드디어 나에게 동생이 생겨서 너무 기뻐.,0
정말 신나! 오늘 집에 오니 내가 그렇게 바라던 강아지가 있더라고!,0
부모님이 당분간 집에 안 계실 거라고 친구들을 부르라고 하셨어. 너무 신나.,0
신난다! 아빠가 오랜만에 외식을 하자고 해서 준비하고 나가는 중이야.,0
나를 지독하게 괴롭히던 가해자들이 모두 처벌을 받게 됐어. 그래서 기분이 정말 좋아.,0
드디어 학교 폭력을 이겨내고 나는 학교에서 영웅 취급을 받고 있어서 정말 기뻐.,0
내가 지켜주고 도와준 친구가 학교폭력을 이겨냈다고 연락이 와서 기분이 정말 좋아.,0
선생님께서 학교폭력을 이겨낸 내가 자랑스럽다며 수고했다고 안아주셨어. 정말 행복해.,0
가해자를 피해 전학 온 학교에서 새로운 친구를 사겨서 기분이 좋아.,0
가해자가 학교를 떠난 뒤 반 친구들과 더 친하게 지낼 수 있어서 행복해.,0
가해자들이 처벌받아 학교에 나오지 않아서 반 친구들과 오랜만에 재미있게 놀았어.,0
날 괴롭히던 친구들과 오해가 풀려 다시 친하게 지낼 수 있게 됐어. 정말 행복해.,0
체육대회 날 날 괴롭히던 친구들과 뒤섞여 축구경기를 하다 보니 다시 사이가 좋아져서 기분이 좋아.,0
날 괴롭히던 가해자들이 그동안 미안했다며 사과했어. 다시는 그러지 않겠다고 해서 정말 기뻐.,0
얼마 전에 시험에서 아깝게 한 개를 틀린줄 알았는데 알고 보니 맞췄대.,0
지난 번 시험에서 성적이 떨어졌었는데 이번엔 다행히 일 등급을 맞았어.,0
친구한테 말 못할 이야기가 있어서 그걸 어떻게 해결할까 하고 있었는데 친구가 그걸 눈치채줬어.,0
나 여태까지 꿈이 없었는데 학교 활동하다 보니 내가 하고 싶은 게 뭔지 알게 됐어.,0
나 이제 공부를 해보려고 문제집도 사고 시작했는데 삼 등급으로 올라서 너무 기뻐!,0
친구한테 미안한 일이 있었는데 내가 사과를 제대로 못했거든. 근데 방금 친구가 먼저 웃으며 다가와 줬어.,0
나 오늘 깜빡 잊고 숙제를 미루다가 다 못해왔는데 선생님이 숙제 검사를 안 하셨어!,0
나 내일까지 숙제 있었는데 미루고 미루다가 오늘 시작해서 방금 다 끝냈어.,0
나 오늘 깜빡 잊고 교과서 안 가져왔는데 다행히 옆 반 친구가 빌려줬어.,0
우산이 없는데 집 갈 때 비가 와서 선생님이 빌려주셨어.,0
나 만날 늦게 나가서 지각했는데 오늘은 정시에 딱 도착했어!,0
나 이번에도 성적 떨어질까 봐 조마조마했는데 다행히 점수가 조금 올랐어.,0
나를 괴롭혔던 아이들이 갑자기 진심으로 사과를 해서 기뻐.,0
친구들과의 오해가 풀려서 이제는 다 같이 놀 수가 있어서 기뻐.,0
내가 괴롭혔던 친구가 바로 용서를 해 주겠다고 말해서 안도가 되는 것 같아.,0
나를 괴롭히던 친구가 갑자기 수업 끝나고 두고 보자고 했는데 아무 일도 없었어. 그래서 다행이야.,0
괴롭히던 아이들에게 말을 걸었는데 괜찮았어. 그래서 기뻐.,0
나를 괴롭히던 친구들이 먼저 나에게 사과를 해 주어서 기뻐.,0
나를 괴롭히던 친구들이 전학을 갔고 안 좋은 사건들을 선생님이 해결해 주어서 기뻐.,0
나를 괴롭히던 친구들이 약한 벌을 받을까 봐 걱정했는데 다행히 무거운 벌을 받아서 다행이야.,0
내 친구들이 내가 당한 학교 폭력에 증인으로 서주어서 좋아.,0
수학은 내가 우리 반에서 제일 잘하는 것 같아.,0
진짜 내가 이 문제만큼은 전교에서 제일 쉽게 풀 수 있다고 자부한다!,0
나 이번 음악 실기 평가 엄청 잘 받을 것 같아!,0
내 느낌에 이번 모의고사 평균 이 등급 받을 수 있을 거 같아!,0
나 이번 학기에 저번보다 성적 오를 것 같아!,0
나 이번에는 성적표 엄마한테 자신 있게 보여드릴 수 있을 것 같아. 엄마가 분명 기뻐하실 거야.,0
나 이번 시험 완전 다 잘 봐서 전교 일등도 노려볼 만한 거 같아!,0
이번 시험 생각보다 쉬웠던 것 같아. 점수 다 잘나올 것 같은데?,0
나 이번에 새로 나온 핸드폰 샀는데 애들이 부러워하겠지!,0
평소에 복습 많이 해서 오늘 공부를 더 안 해도 내일 시험 잘 볼 수 있을 것 같아!,0
나 평소에 등하교 다 걸어 다녀서 체력만큼은 내가 우리 반에서 최고일거야.,0
나 진짜 열심히 공부해오지 않았어? 이 정도면 분명 좋은 대학 갈 수 있을 것 같아.,0
난 어렸을 때부터 축구를 배워서 체육과목은 웬만해서는 만점이 나올 거야.,0
부모님의 취미가 독서라서 나도 책을 많이 읽어서 국어 서술형은 쉬운 것 같아.,0
시험이 어렵게 나오다가 이번에 시험이 쉽게 나와 성적이 올랐어!,0
예체능 쪽으로 진로를 바꾸고 싶은데 부모님이 보수적이어서 걱정했는데 다행히 허락해주셨어.,0
예전에는 그냥 외우다가 지금은 필기를 하면서 읽으니 더 잘 외워진다. 왜 이걸 이제 알았을까.,0
수업시간에 나 말고 다른 친구들은 다 자기 때문에 이번 시험은 내가 일등이라고 선생님께 말씀 드렸어.,0
같이 공부하던 친구들과 함께 노력하고 서로 응원을 해서 가고 싶은 대학에 갈 수 있게 되었어.,0
진로를 바꾸려고 고민 중인데 선생님께선 뭐든 잘할 수 있다 하셔서 의사가 되기로 했어.,0
수능을 잘 보기 위해선 한국사를 잘해야 하는데 어려워도 잘할 수 있을 거란 생각에 수강했어.,0
이제 이 학교에 학교 폭력의 가해자들은 없어서 너무 좋아.,0
괴롭힘 당하고 있다고 선생님께 털어놓으니 마음이 한결 가벼워.,0
앞으로 괴롭힘 당할 때마다 반 친구들이 도와주기로 약속했어!,0
학교폭력위원회에서 내린 격리결정으로 더 이상 가해자를 볼일이 없어 마음이 편해.,0
부모님의 부탁으로 가해자들과 나는 다른 반이 되었어.,0
학교에 학교 폭력 전담 상담실이 만들어져 상담이 가능해졌어.,0
우리 반 친구들이 내 이야기를 들어주고 나를 위로해줬어.,0
나를 괴롭히던 친구들과 진지하게 얘기를 나눠봤어.,0
내가 괴롭히던 친구한테 진심으로 사죄하고 싶어.,0
나를 괴롭히던 아이들 내가 넓은 마음으로 용서하기로 했어.,0
학교폭력 가해자들이 수감되는 것을 내 눈으로 보고나니 한결 마음이 편해.,0
처음 공부할 때 열심히 했더니 복습하는 데에 어려움이 없어서 편해.,0
일찍 자고 일찍 일어났더니 공부할 때 마음이 한결 편안해.,0
항상 수업을 듣던 선생님께 이번 학년에도 수업을 듣게 되어서 너무 좋아.,0
이 등과 점수 차이가 많이 나는 걸 보니 안심해도 될 것 같아.,0
처음 공부할 때 열심히 했더니 복습하는 데에 어려움이 없어서 편해.,0
일찍 자고 일찍 일어났더니 공부할 때 마음이 한결 편안해.,0
항상 수업을 듣던 선생님께 이번 학년에도 수업을 듣게 되어서 너무 좋아.,0
이 등과 점수 차이가 많이 나는 걸 보니 안심해도 될 것 같아.,0
코로나 사태로 학교를 잘  못 가서 늘 집에 혼자 있다가 주말에 가족들과 함께 있으니까 행복해.,0
이제 이 학교에 학교 폭력 가해자들이 없어서 너무 좋아,0
아빠랑 내기를 했는데 이긴 게 너무 신나서 환호성이 나와.,0
잃어버린 줄 알았던 강아지가 우리 집에 다시 되돌아 왔어!,0
합격을 해서 너무 기뻐!,0
가족들하고 올림픽을 보는데 금메달을 따서 지금 다들 흥분하고 있어.,0
할머니가 다리를 다쳤었는데 오늘 처음으로 걸음을 떼셨어.,0
형과 같은 편으로 농구를 해보니 생각보다 호흡이 잘 맞아.,0
오늘 못 보던 기타가 내 방에 놓여 있어.,0
운동회 계주로 내가 일등을 했는데 가족들이 정말 좋아해.,0
이번에 열심히 공부했더니 저번보다 삼십 점이나 올랐어!,0
이번에 수학 시험에서 백 점을 맞았어! 제일 못했던 과목인데.,0
어제 시험 볼 때 친구가 내 시험지를 베꼈는데 선생님께 들켜서 혼나고 있어.,0
방금 내가 틀린 줄 알았던 문제의 답이 복수 정답 처리가 되었다는 말을 들었어. 너무 기뻐.,0
이번에 대학 입시를 치렀는데 내가 지원한 곳의 발표 시간이 다가오고 있어.,0
나는 연기 입시를 준비하고 있는데 이번에 연기 선생님께서 무대에 주연으로 세워주겠다고 하셔서 너무 기뻐.,0
나를 괴롭히던 애들이 학폭위에서 모두 징계 처분을 받았어!,0
나를 괴롭히던 애들이 학폭위에서 모두 징계 처분을 받았어!,0
학교 폭력 가해자들이 학교에 안 나오니깐 반 친구들이 내게 말을 걸어주었어!,0
오늘 너무 화가 나 참지 못하고 싸웠는데 내가 이겼어! 너무 신나!,0
나도 모르게 어느새 반 아이들끼리 증거를 모아 학교 폭력 가해자들을 고소해 주었어!,0
이제 모든 왕따 문제가 해결되었대. 선생님이 나를 꼭 안아주셔서 너무 기뻐.,0
나를 따돌리던 친구들이 내게 다시 말을 걸기 시작해서 마음이 한결 놓였어.,0
선생님께서 매일 나를 괴롭히던 친구를 제대로 혼내주셨어.,0
오늘 아주 좋은 일이 있었어. 내 친구 민수 덕분에 왕따가 해결됐거든.,0
엄마가 학교에 찾아와서 내가 당한 폭행에 대해 선생님과 상담하고 학폭위를 열어서 해결할 수 있도록 힘써 주셨어.,0
날 못살게 굴던 친구들한테 선배가 얘기해서 다 해결됐지 뭐야.,0
우와. 선생님 짱이야. 선생님하고 상담했더니 그동안 애들로부터 당했던 어려움을 다 해결해주셨지 뭐야.,0
야호. 이젠 맘 놓고 학교 갈 수 있겠어. 선생님이 돈 뜯어가던 애들을 혼내주셨거든.,0
내 친구 미나 있잖아. 그 애가 도와줘서 날 괴롭히던 애들이 더 이상 못살게 굴지 않게 됐지 뭐야.,0
내가 여진이랑 힘들어서 엄마한테 고민을 털어놨더니 먼저 얘기를 해보는 게 어떠냐고 권해주셨어.,0
우리 반에서 지속적으로 한 아이를 두고 폭력이 일어났었는데 선생님이 훈계를 잘해줘서 근절되었어.,0
얼마 전에 지수라고 전학 온 애가 있거든? 걔가 내 친구들과 오해를 풀어줘서 화해하게 되었어.,0
오늘 학교로 찾아오신 부모님 덕분에 친구들이 더 이상 나를 괴롭히지 않을 거야.,0
아빠의 관심 덕분에 왕따 당하는 것으로 괴로워하던 내가 이제는 친구를 사귈 용기를 얻게 되었어.,0
어버이날에 부모님께 선물을 고민하다가 감사의 뜻을 담은 손 편지를 써서 드렸어.,0
언니가 배달 음식을 시켰는데 말하지 않았는데도 내가 먹고 싶은 메뉴를 시켜줬어.,0
신문을 보니 다른 집은 많이 다투나본데 우리 집은 사이좋고 화목해서 참 좋아.,0
선생님이 나의 고민을 아시고 나를 부르셨어.,0
내 학교폭력 문제에 대해 선생님이 적극적으로 나셔주시니 든든해.,0
따돌림으로 우울했는데 부모님께서 위로해주셨어.,0
학교폭력으로 힘든 나를 친구가 위로해주었어.,0
가해자들이 우리 반으로 찾아와서 친구들이 나를 지켜주었어.,0
내 폭행을 목격한 친구가 무서움에도 학폭위에서 증언을 해주었어.,0
내가 갖고 싶다고 말했던 가방을 엄마가 기억하고 사주셔서 너무 좋아.,0
방학 동안 알바해서 받은 돈으로 엄마에게 처음 선물을 드렸어. 엄마가 기특해하셨어.,0
엄마와 처음으로 단둘이 여행을 갔어. 어색하기도 했지만 뜻 깊은 시간이었어.,0
이번 크리스마스에 내가 직접 만든 요리로 가족들과 파티를 했어. 정말 즐거웠던 파티야.,0
우리 엄마 아빠는 내가 딸이라서 행복하다고 말해 주셨어. 그 어떤 말보다 최고의 칭찬이야.,0
아빠의 사업이 잘 돼가고 있어. 모두가 걱정했었는데 잘 되어서 얼마나 다행인지 몰라.,0
그동안 빚 때문에 힘들었던 우리 집이 빚을 다 갚았대. 정말 속이 다 후련해.,0
이번 기말고사에서 전부 백 점을 받았어. 이런 적은 처음이야.,0
엄마는 내가 살아갈 힘이 된데. 엄마가 날 그렇게 생각하는 줄 몰랐어.,0
