,sentence,label
0,뭐래 븅신이 ㅋㅋㅋㅋㅋㅋ 통계가 뜬건데 니 뇌피셜이 아니라 통계라고 ^^,6
1,애인은 우리가 싸우는 이유를 전부 내 탓으로 돌리는데 정말 이해가 안가.,2
2,오늘 시험 시간에 다른 친구가 컨닝하는 것을 보고 놀랐어. 그리고 당황스러워.,5
3,기숙사에 있던 아들을 오랜만에 봤는데 걱정될 정도로 살이 너무 빠져서 당황했어.,3
4,재미 삼아 복권을 구입한 회사 동료가 삼 등에 당첨됐어!,0
5,사진을 확인해 보니 이십 년 지기 친구가 결국 내 결혼식에 오지 않았어. 화가 나.,2
6,아내가 폐렴인데 아들이 집에서 담배를 피우네. 너무 이해가 안 가.,2
7,은퇴하고 만성질환으로 몸이 아파.,1
8,ㄹㅇ걍보쌈대자시켜먹음 ㅂㅅ들,6
9,지금 비가 오는데 오토바이를 타고 나간 동생이 걱정돼.,3
10,급하게 화재 신고를 받고 간 현장은 아비규환이야 너무 끔직했어. 구역질이 나올 거 같아.,2
11,병을 앓아서 스트레스를 받았지만 느긋한 마음을 가지니까 병세가 좋아지기 시작했어. 놀랍고 기뻐.,0
12,얼마 전 동창회에 다녀왔는데 나와 아내만 삼십 대처럼 보여서 정말 기분이 좋았어.,0
13,음 근데 일게이들은 관계없자나. 결혼 안할거자나?,6
14,상사가 너무 시대착오적인 발언들을 해!,2
15,아내가 결혼 전과 다르게 꾸미지도 않고 화장도 안 해서 속상해.,1
16,얼마 전에 빙판길에 넘어져서 병원에 입원했는데 친구들이 한 명도 병문안을 오지 않았어.,1
17,옛날에 같이 근무했던 동갑인 최 부장은 나랑은 다르게 심혈관질환 없이 아직 정정하다고 해서 질투가 나.,4
18,나를 괴롭게 한 그 사람이 자신과 똑같은 사람을 만났으면 좋겠어.,2
19,남편한테는 당분간 내가 치매인 걸 숨기느라 마음이 불안해.,3
20,항상 피곤하고 지친 느낌을 많이 받았는데 요즘 운동 시작하고 많이 좋아졌어.,0
21,좃망 가즈아~~~~,6
22,전립선 비대증 때문에 생활이 매우 불편해서 짜증나.,2
23,친척이 알려준 민간요법이 암 치료에 효과가 있는지 모르겠어.,3
24,공장에서 일을 하다가 다쳤는데도 아무런 보상을 받지 못해서 너무 슬퍼.,1
25,용접공이 뭔 산업역군이노 ? 솔직히 공부 못하고 할 거 없으니가 직업훈련소 같은데가서 그거라도 배워서 입에 풀칠하는거지 조선소에서 조금만 일해봐도 용접공새끼들이 얼마나 개새끼들인지 알게되는데 범죄자새끼들도 존나 많고 교도소에서 용접기술 배워와가지고,6
26,검진 결과가 안 좋게 나와서 정말 슬퍼. 차라리 검사를 하지 않는 것이 어땠을까.,1
27,내 친구는 왜 거짓말을 밥 먹듯이 할까? 나는 너무 화가 나.,2
28,또 다시 구직을 해야 할 것 같아. 이번에도 취직에 실패해서 상처받았어.,4
29,누나 책상에서 봤던 샤프를 빌려달라고 했더니 잃어버려서 어디에다 뒀는지 모르겠다고 얼버무려서 상처받았어.,4
30,딸을 크게 꾸짖고 호통을 쳤는데 집에도 안 들어오고 연락도 되지 않아서 너무 걱정스럽고 속상해.,3
31,친한 친구가 걱정돼서 조언을 했는데 반응이 안 좋아.,2
32,요즘 자식들과 아내가 내게 요구하는 게 점점 많아지는 거 같아서 짜증 나.,2
33,친구한테 속상했던 일들을 말하니 억울하다며 도리어 화를 내서 짜증이 나.,2
34,교회에서 환우 공동모금이 이루어진다는데 참 고맙네.,0
35,친구들과 공모전을 준비했는데 인원 제한으로 내 이름이 빠진 작품이 입상을 했어.,1
36,내가 일만 하는 기계 같아서 지치고 구역질이 날 지경이야.,2
37,자식들 키워봤자 다 소용없어. 잘 걷지도 못하는 나를 택시를 불러서 알아서 병원에 가라고 하네.,4
38,오늘 엄마하고 찜질방에 가서 오랜만에 휴식을 취했더니 기분이 좋아.,0
39,같이 새벽까지 공부한 친구가 아침에 날 깨워주지 않고 자기 혼자만 학교에 갔어.,1
40,나이가 들어서 그런지 요즘 자꾸 여기저기 아프네. ,5
41,오늘도 정규직 명단에 내 이름이 없어 너무 슬퍼.,1
42,부모님의 부탁으로 가해자들과 나는 다른 반이 되었어.,0
43,아빠가 가끔 어려운 이야기를 하실 때 이해 안 될 때가 있어서 혼란스러워.,3
44,  그렇게 작은 병 큰 병 운운하면서 마치 무슨 중증외상이 열악한건 순리이니 따라야한다는 식으로 바람잡지마 돌팔이 새끼야.,6
45,좆문대도 잘만가더라 ㅋㅋ,6
46,독감백신을 맞아야 할지 망설여지네.,2
47,나랑 싸웠던 친구와 서로 화해하고 걔랑 가장 친한 친구 되었어.,0
48,딸아이의 방에 물건을 가지러 갔다가 담배를 발견했는데 참 환멸이 나.,1
49,요사이 너무 혼란스러워. 아들이 이제 컸다고 말도 안 듣고 담배까지 피우는 거 같아.,3
50,오늘 프라푸치노를 먹었는데 뱃살이 나올까봐 불안해.,3
51,하여간 흉기 언플 존나함. 이제 안먹히지 자국민이 호구도 아니고,6
52,차가 너무 막혀서 그만 바지에 실수를 했어. 너무 창피해.,5
53,의사와 상담을 하는데 몇 세에 죽기를 원하는지 질문하더라. 그 질문을 듣고 당황스러웠어.,5
54,아내가 명품 가방을 몰래 샀어. 말이라도 하고 사지 왜 몰래 샀는지 이해가 안 되네.,1
55,취업에 성공한 사람들 때문에 자괴감을 느끼게 돼.,1
56,아내와 같이 응원하던 야구팀이 우승을 했어.,0
57,문과와 이과 중에서 내 적성에 맞는 게 무엇인지 모르겠고 혼란스러워.,5
58,이혼이 마무리되고 이제 집에 혼자만 남겨졌어 홀로 버려진 기분이야.,4
59,담배 그놈 피우다 폐암에 걸렸지 뭐야. 조기발견으로 완치는 했지만 아직도 끊질 못해 좌불안석일세.,3
60,지금의 이 시대는 부모가 자녀들과 대화를 하는 게 너무 어렵다고 생각해. 부모의 생각과 자녀의 생각이 너무 차이가 크게 나는 것 같네. 어떤 것이 최선인지 답답한 상황이야.,0
61,얼마 전 아내와 싸움을 해서 마음이 우울하네.,1
62,한국이 하면 빨갱시짓?,6
63,알코올 중독인 남편과 황혼 이혼을 해야 할지 고민이야.,5
64,암으로 인해 죽어야 한다는 사실이 너무 화가 나.,2
65,남자 친구에게 화가 나 마음에도 없는 말을 하며 상처를 줬어.,1
66,난 여태 친구를 괴롭혔어. 선생님이 방과 후 교무실로 오라고 하셨는데 이것을 들켰을 것 같아서 초조해.,3
67,나이 먹어가는 것이 꼭 나쁘지만은 않아. 세상을 바라보는 관점이 좀 편안해졌어.,0
68,나 오늘 고백했다가 차여서 슬퍼.,1
69,의사에게 산모와 아이 모두 건강하다는 말을 듣고 얼마나 기쁘고 다행이었는지 몰라.,0
70,가족을 위해 일하다가 너무 건강을 해친 것 같아.,4
71,동기가 다 못 끝낸 일을 내가 대신 맡아 야근해 버렸어.,4
72,나이드니 자꾸 아파.,3
73,우리가 사랑하는 것에 대해 비난 받을 이유가 없다고 생각해. 이런 상황이 너무 억울해.,4
74,결혼 예산 때문에 하루도 빠짐없이 남자 친구와 싸워서 너무 괴로워.,4
75,내 친구 아들은 대기업에서 일하고 있는데 우리 아들 하는 짓을 보면 너무 한심하네.,5
76,독서실에서 공부를 오랜 시간 하는데 정작 시험점수가 안 나와.,3
77,글쓴놈 내일 자살했으면 좋겠다^^,6
78,친구가 내 카카오 톡 메신저를 보지도 않고 대답도 안 해. 답장이 없어서 당황스러워.,5
79,입시가 코 앞인데 지금 내 성적으로는 좋은 결과를 내기 어려울 것 같아.,1
80,아들 보기 부끄럽고 미안하네.,5
81,오래전부터 운동한 나는 젊은 친구들보다 힘이 세.,0
82,맡은 업무가 지금까지는 완벽하게 처리된 것 같아.,0
83,친한 친구가 뒤에서 내 험담을 하고 다녀서 친구들이 나에 대해 오해하고 있어. 억울해. ,4
84,언니가 취업 준비 힘들게 하더니 드디어 공채 시험에 합격했어! 정말 기뻐.,0
85,체중이 증가해서 걱정이야.,2
86,내가 담배 피운다는 소문이 났었는데 그 소문을 퍼뜨린 게 내 제일 친한 친구였대.,1
87,죽기 전에 이것저것 해 보고 싶은데 딸과 사위의 눈치를 보게 되어서 억울하네.,4
88,요즘 고민이 많아서 슬퍼. 난 내 인생의 목표가 뭔지 모르겠어.,1
89,회식 때 노래방에서 내가 노래를 부르려는데 신입사원이 취소를 눌렀어. 기분이 정말 나쁘네.,3
90,나는 맹세코 그런 말을 한 적이 없는데 왜 걔한테 맞았는지 모르겠어. 너무 억울해,4
91,신장으로 일주일에 세 번 투석 받으면 아무 힘이 없어.,2
92,나 평소에 등하교 다 걸어 다녀서 체력만큼은 내가 우리 반에서 최고일거야.,0
93,정말 믿었던 친구였는데. 내 욕을 하고 다니다니 실망스러워.,1
94,내 친구가 은근히 따돌림을 당하고 있는데 도와줄지 아니면 모른 척 해야할지 고민이 돼.,3
95,맨날 부모님으로부터 명문대 진학한 오빠랑 비교되는 내가 싫어.,4
96,부모님이 남자 친구와의 결혼을 반대해.,1
97,당뇨관리를 잘 한다고 했는데 이번에 공복 수치가 너무 높게 나와서 실망이야.,1
98,사랑하는 사람과 결혼한 게 맞나 싶어.,1
