,ID,Comment,Date,label
0,ssbu,짤렸지만 광희 우체통 아이디어도 되게 신박했음똑같이 생긴 우체통 옆에다 두기그런데 아무도 안 와서 잊혀짐 ㅋㅋ,2021. 1. 23.,악플
1,윤석주,"하하의 욕받이 희생으로 주나형은 쇼미더머니,자연인,북극곰,롤러코스터 5번 연속타기를 실행하게 된다ㅋㅋㅋㅋ 1년안에 다실행시킨 제작진과 준하형도 대단하고, 저때 토토드나 예고제 몰카도 진행했으면 더 대박났을듯",2021. 1. 23.,악플
2,얼린슈,홍철이 있었으면 신박한 아이디어들 엄청 쏟아졌을듯ㅋㅋㅋㅋㅋ,2021. 1. 23.,악플
3,박호준,이때 진짜 레전드 였지 ㅋㅋ건설중인 롯데타워 가고 ㅋㅋ아쿠아리움에 ㅋㅋ암벽 클라이밍 우체통 많은곳 복싱장에 서로 못하는거 잘 알고있는 무도 ㅋㅋ,2021. 1. 23.,악플
4,1234,ㅋㅋㅋ저때 간만에 하하 엄청 얄밉고 쩌리짱 불쌍했음ㅋㅋㅋㅋㅋㅋㅋ 티비 속으로 들어가서 쩌리짱한테 편지 다시 확인하라고 말해주고 싶은 마음ㅋㅋㅋ 덕분에 재밌는 그림 나오긴 했지만ㅋㅋㅋ,2021. 1. 23.,악플
5,안용복,정말 하하가 자기 한몸 바쳐가며 MC민지를 탄생시켰지 설마설마햇는데 진짜 쇼미더 머니 예선나가서 쌈디 앞에서 랩을 하는MC민지 레스풱ㅎㅎㅎ,2021. 1. 23.,악플
6,토순찌,무도 13년치 몰아서 정주행 중인데ㅋㅋㅋㅋㅋ 하나 같이 다 주옥 같다ㅋㅋㅋ아껴 놓고 밥 먹을때만 꺼내서 봐야겠다,2021. 1. 23.,악플
7,김현근 | ERICA 광고홍보학과 ­,한때 정말 좋아했던 무한도전 프로그램. 다시봐도 역시나 너무 재미있네요. 저 멤버들이 다시 모이는 날이 어서 빨리 왔으면 좋겠습니다.정말 무한도전은 저한테 좋은 추억으로 남아있습니다. 당시 기획 하셨던 김태호 PD님을 비롯해서 모든 PD님 정말 대단하다고 느껴집니다.그리고 유재석님을 비롯한 많은 출연진들 너무 재미있게 잘봤습니다.앞으로도 멤버들 항상 응원할게요. 화이팅입니다. 역대최고프로그램 무한도전.,2021. 1. 23.,긍정
8,페리,13:30 진짜 듬직하다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한번 올라가는 것도 아니고 저기서 일하는건데 넘 용감하심 나라면 죽어도 못 해,2021. 1. 23.,악플
9,김수빈,정준하가 안긴 분 자막 개웃김 ㅋㅋㅋ 귀엽긴️ 자막 모임 ㅋㅋㅋ,2021. 1. 23.,악플
